Time,symbol,Close,Open,High,Low,Volume
2017-11-30 07:00:00,VNINDEX,949.93,956.17,960.11,949.93,225052010
2017-12-01 07:00:00,VNINDEX,960.33,952.76,960.33,952.76,204845390
2017-12-04 07:00:00,VNINDEX,970.02,962.47,972.53,962.47,253286410
2017-12-05 07:00:00,VNINDEX,953.3,972.28,974.8,953.3,237663970
2017-12-06 07:00:00,VNINDEX,947.64,950.21,950.72,932.64,225172150
2017-12-07 07:00:00,VNINDEX,938.65,950.23,954.24,932.68,162853390
2017-12-08 07:00:00,VNINDEX,940.16,938.41,944.75,930.29,153106250
2017-12-11 07:00:00,VNINDEX,917.45,930.17,936.93,917.45,170105480
2017-12-12 07:00:00,VNINDEX,927.25,927.67,931.12,895.73,225246300
2017-12-13 07:00:00,VNINDEX,924.4,932.05,932.48,922.97,127047580
2017-12-14 07:00:00,VNINDEX,935.85,925.51,936.29,923.99,154262610
2017-12-15 07:00:00,VNINDEX,935.16,933.63,939.57,932.96,229584110
2017-12-18 07:00:00,VNINDEX,958.06,945.9,958.06,945.9,226365940
2017-12-19 07:00:00,VNINDEX,951.42,961.03,963.01,951.25,206933350
2017-12-20 07:00:00,VNINDEX,953.51,945.12,958.82,945.12,174376230
2017-12-21 07:00:00,VNINDEX,946.06,949.45,957.56,946.06,146788730
2017-12-22 07:00:00,VNINDEX,952.32,947.54,952.7,945.18,146008550
2017-12-25 07:00:00,VNINDEX,958.31,954.28,958.57,952.41,116082960
2017-12-26 07:00:00,VNINDEX,965.93,960.32,965.93,957.24,134417650
2017-12-27 07:00:00,VNINDEX,968.46,969.72,972.6,965.18,177748110
2017-12-28 07:00:00,VNINDEX,976.72,970.63,978.65,967.73,143944680
2017-12-29 07:00:00,VNINDEX,984.24,978.39,990.1,976.33,180964800
2018-01-02 07:00:00,VNINDEX,995.77,986.05,996.18,984.34,173125210
2018-01-03 07:00:00,VNINDEX,1005.67,999.86,1010.21,998.41,212755670
2018-01-04 07:00:00,VNINDEX,1019.75,1009.37,1019.75,1009.0,235427380
2018-01-05 07:00:00,VNINDEX,1012.65,1020.34,1020.6,1010.65,267882440
2018-01-08 07:00:00,VNINDEX,1022.9,1011.36,1022.9,1004.89,236387900
2018-01-09 07:00:00,VNINDEX,1033.56,1027.14,1033.56,1017.86,290482980
2018-01-10 07:00:00,VNINDEX,1038.109,1034.64,1045.63,1033.01,341600970
2018-01-11 07:00:00,VNINDEX,1048.17,1037.03,1049.73,1031.13,288550670
2018-01-12 07:00:00,VNINDEX,1050.11,1050.17,1057.88,1046.38,320836070
2018-01-15 07:00:00,VNINDEX,1063.47,1049.91,1063.47,1043.15,256567310
2018-01-16 07:00:00,VNINDEX,1062.96,1059.36,1065.39,1052.43,294792490
2018-01-17 07:00:00,VNINDEX,1034.69,1061.98,1064.77,1034.69,294301610
2018-01-18 07:00:00,VNINDEX,1050.25,1028.76,1050.25,1020.01,256859550
2018-01-19 07:00:00,VNINDEX,1062.07,1054.33,1067.21,1053.37,279706010
2018-01-22 07:00:00,VNINDEX,1087.42,1066.86,1088.05,1066.61,246215500
2018-01-25 07:00:00,VNINDEX,1104.57,1098.44,1117.08,1098.44,445940510
2018-01-26 07:00:00,VNINDEX,1115.64,1119.78,1123.83,1103.06,261062660
2018-01-29 07:00:00,VNINDEX,1109.8,1121.78,1130.1,1109.8,263321700
2018-01-30 07:00:00,VNINDEX,1110.56,1099.98,1110.56,1092.44,287489730
2018-01-31 07:00:00,VNINDEX,1110.36,1112.23,1128.1,1104.98,312880930
2018-02-01 07:00:00,VNINDEX,1099.67,1111.74,1111.74,1090.25,233072190
2018-02-02 07:00:00,VNINDEX,1105.04,1098.66,1105.04,1091.06,172601930
2018-02-05 07:00:00,VNINDEX,1048.71,1089.62,1090.88,1048.71,248154720
2018-02-06 07:00:00,VNINDEX,1011.6,1026.079,1026.079,983.06,364437550
2018-02-07 07:00:00,VNINDEX,1040.55,1040.53,1048.54,1034.13,208749250
2018-02-08 07:00:00,VNINDEX,1023.25,1031.46,1039.609,1023.25,161025060
2018-02-09 07:00:00,VNINDEX,1003.94,991.09,1003.94,973.78,199516810
2018-02-12 07:00:00,VNINDEX,1041.79,1011.64,1041.79,1011.64,162098570
2018-02-13 07:00:00,VNINDEX,1059.73,1053.31,1060.48,1052.86,157958690
2018-02-21 07:00:00,VNINDEX,1087.15,1073.33,1092.65,1070.43,165043220
2018-02-22 07:00:00,VNINDEX,1076.03,1080.77,1091.62,1074.27,185011630
2018-02-23 07:00:00,VNINDEX,1102.85,1086.81,1102.85,1081.31,177049320
2018-02-26 07:00:00,VNINDEX,1114.53,1115.9,1127.57,1114.06,221574620
2018-02-27 07:00:00,VNINDEX,1119.61,1124.03,1124.03,1106.77,175305260
2018-02-28 07:00:00,VNINDEX,1121.54,1110.3,1129.89,1109.89,213347390
2018-03-01 07:00:00,VNINDEX,1115.79,1118.13,1129.3,1110.92,207156270
2018-03-02 07:00:00,VNINDEX,1121.21,1103.16,1121.91,1103.16,188043270
2018-03-05 07:00:00,VNINDEX,1093.48,1129.92,1132.69,1093.48,252795970
2018-03-06 07:00:00,VNINDEX,1120.29,1093.48,1120.29,1091.67,210241820
2018-03-07 07:00:00,VNINDEX,1112.26,1121.99,1126.67,1103.29,239942030
2018-03-08 07:00:00,VNINDEX,1124.15,1112.24,1126.35,1111.76,186579760
2018-03-09 07:00:00,VNINDEX,1123.41,1128.73,1135.02,1119.18,205512360
2018-03-12 07:00:00,VNINDEX,1126.29,1135.37,1135.48,1123.98,197146780
2018-03-13 07:00:00,VNINDEX,1133.31,1126.53,1133.31,1118.49,208112910
2018-03-14 07:00:00,VNINDEX,1138.09,1135.99,1142.88,1134.55,222436340
2018-03-15 07:00:00,VNINDEX,1138.76,1134.51,1140.74,1129.66,207105860
2018-03-16 07:00:00,VNINDEX,1150.19,1144.54,1152.52,1140.56,260196900
2018-03-19 07:00:00,VNINDEX,1159.22,1158.16,1165.63,1155.82,221555290
2018-03-20 07:00:00,VNINDEX,1159.39,1154.48,1166.33,1154.48,189756080
